time_s,coil,emf_mV
0.152250,2,113.3590
0.153700,1,71.7810
0.155150,2,109.4840
0.156600,1,60.5780
0.158050,2,105.8130
0.159500,1,49.3130
0.160950,2,101.5630
0.162400,1,38.3440
0.163850,2,96.8440
0.165300,1,26.6880
0.166750,2,91.7810
0.168200,1,15.9840
0.169650,2,87.2810
0.171100,1,4.4060
0.172550,2,81.2190
0.174000,1,-7.7030
0.175450,2,75.6090
0.176900,1,-18.9840
0.178350,2,69.9530
0.179800,1,-30.2500
0.181250,2,63.5780
0.182700,1,-41.2660
0.184150,2,57.7660
0.185600,1,-53.0310
0.187050,2,51.6410
0.188500,1,-63.3910
0.189950,2,44.8910
0.191400,1,-74.4840
0.192850,2,37.6250
0.194300,1,-85.1410
0.195750,2,31.1410
0.197200,1,-95.1410
0.198650,2,24.0940
0.200100,1,-105.6720
0.201550,2,17.4690
0.203000,1,-115.3280
0.204450,2,9.7030
0.205900,1,-124.3120
0.207350,2,2.9690
0.208800,1,-133.5470
0.210250,2,-3.9840
0.211700,1,-142.2190
0.213150,2,-10.6870
0.214600,1,-150.6250
0.216050,2,-18.1560
0.217500,1,-158.0940
0.218950,2,-25.2030
0.220400,1,-165.4220
0.221850,2,-32.3590
0.223300,1,-171.6250
0.224750,2,-38.6870
0.226200,1,-178.0000
0.227650,2,-45.8750
0.229100,1,-183.4840
0.230550,2,-52.5160
0.232000,1,-189.0160
0.233450,2,-58.7030
0.234900,1,-193.3750
0.236350,2,-65.3590
0.237800,1,-196.9690
0.239250,2,-71.4370
0.240700,1,-200.5620
0.242150,2,-76.5000
0.243600,1,-203.3590
0.245050,2,-82.8750
0.246500,1,-205.4220
0.247950,2,-88.2030
0.249400,1,-206.5000
0.250850,2,-93.1870
0.252300,1,-207.8910
0.253750,2,-98.1870
0.255200,1,-207.9370
0.256650,2,-102.5000
0.258100,1,-207.7030
0.259550,2,-106.5620
0.261000,1,-206.5620
0.262450,2,-109.8750
0.263900,1,-204.7970
0.265350,2,-114.0940
0.266800,1,-202.5310
0.268250,2,-117.4370
0.269700,1,-199.8750
0.271150,2,-120.1410
0.272600,1,-195.9370
0.274050,2,-122.4060
0.275500,1,-192.3280
0.276950,2,-125.1870
0.278400,1,-187.6720
0.279850,2,-126.6410
0.281300,1,-181.6720
0.282750,2,-127.8120
0.284200,1,-176.2340
0.285650,2,-129.4220
0.287100,1,-169.7190
0.288550,2,-129.4060
0.290000,1,-163.0160
0.291450,2,-129.6410
0.292900,1,-155.2660
0.294350,2,-129.5000
0.295800,1,-148.0940
0.297250,2,-128.8910
0.298700,1,-138.8590
0.300150,2,-128.2970
0.301600,1,-130.6410
0.303050,2,-126.4370
0.304500,1,-121.5620
0.305950,2,-125.2340
0.307400,1,-112.2970
0.308850,2,-122.6410
0.310300,1,-101.9530
0.311750,2,-120.5620
0.313200,1,-91.9370
0.314650,2,-117.4690
0.316100,1,-81.7810
0.317550,2,-114.2030
0.319000,1,-70.9220
0.320450,2,-110.8590
0.321900,1,-59.9530
0.323350,2,-106.8910
0.324800,1,-48.7970
0.326250,2,-102.6560
0.327700,1,-37.8750
0.329150,2,-98.1410
0.330600,1,-26.7190
0.332050,2,-92.7810
0.333500,1,-15.3750
0.334950,2,-88.3120
0.336400,1,-3.4060
0.337850,2,-83.2340
0.339300,1,8.2340
0.340750,2,-77.0470
0.342200,1,19.9220
0.343650,2,-71.2660
0.345100,1,31.2030
0.346550,2,-65.6870
0.348000,1,41.8130
0.349450,2,-59.2340
0.350900,1,53.5160
0.352350,2,-52.1870
0.353800,1,63.8910
0.355250,2,-46.0310
0.356700,1,75.1250
0.358150,2,-39.4530
0.359600,1,85.8280
0.361050,2,-32.5000
0.362500,1,96.2030
0.363950,2,-26.1090
0.365400,1,105.9060
0.366850,2,-18.4840
0.368300,1,115.8750
0.369750,2,-11.6870
0.371200,1,125.3750
0.372650,2,-4.4840
0.374100,1,134.3590
0.375550,2,2.6250
0.377000,1,142.8130
0.378450,2,10.0470
0.379900,1,151.5630
0.381350,2,16.5780
0.382800,1,158.7970
0.384250,2,23.8280
0.385700,1,166.0160
0.387150,2,31.1250
0.388600,1,172.7500
0.390050,2,37.7660
0.391500,1,178.7340
0.392950,2,44.4690
0.394400,1,184.4690
0.395850,2,51.2970
0.397300,1,189.8910
0.398750,2,57.6880
0.400200,1,194.5160
0.401650,2,63.9690
0.403100,1,198.8750
0.404550,2,69.8130
0.406000,1,202.2030
0.407450,2,76.1090
0.408900,1,204.4690
0.410350,2,81.4530
0.411800,1,207.1720
0.413250,2,87.0470
0.414700,1,208.2500
0.416150,2,92.1560
0.417600,1,209.1090
0.419050,2,96.7500
0.420500,1,209.8910
0.421950,2,101.2660
0.423400,1,209.3750
0.424850,2,105.4220
0.426300,1,208.2660
0.427750,2,109.3910
0.429200,1,206.4060
0.430650,2,113.3590
0.432100,1,204.4220
0.433550,2,116.5780
0.435000,1,201.6410
0.436450,2,119.6410
0.437900,1,197.9220
0.439350,2,122.0630
0.440800,1,194.1250
0.442250,2,123.9690
0.443700,1,189.8440
0.445150,2,125.6720
0.446600,1,184.1720
0.448050,2,127.0780
0.449500,1,178.8440
0.450950,2,128.3750
0.452400,1,171.7190
0.453850,2,128.5160
0.455300,1,164.6250
0.456750,2,129.1560
0.458200,1,157.7340
0.459650,2,129.0000
0.461100,1,149.7340
0.462550,2,128.2340
0.464000,1,140.8750
0.465450,2,127.4530
0.466900,1,132.7660
0.468350,2,126.2810
0.469800,1,123.7970
0.471250,2,124.6560
0.472700,1,114.7970
0.474150,2,121.9380
0.475600,1,104.8130
0.477050,2,119.5470
0.478500,1,94.9690
0.479950,2,116.5630
0.481400,1,83.9060
0.482850,2,113.8130
0.484300,1,73.5310
0.485750,2,110.3440
0.487200,1,62.7030
0.488650,2,106.9530
0.490100,1,51.2970
0.491550,2,102.1880
0.493000,1,40.3750
0.494450,2,97.6250
0.495900,1,28.9060
0.497350,2,93.1090
0.498800,1,17.5000
0.500250,2,87.7660
0.501700,1,6.2340
0.503150,2,82.8750
0.504600,1,-5.4220
0.506050,2,76.8910
0.507500,1,-17.0620
0.508950,2,70.5630
0.510400,1,-28.3910
0.511850,2,65.0630
0.513300,1,-39.6410
0.514750,2,59.2030
0.516200,1,-50.5470
0.517650,2,52.3910
0.519100,1,-61.8750
0.520550,2,46.0470
0.522000,1,-72.1410
0.523450,2,39.8440
0.524900,1,-82.8590
0.526350,2,32.6410
0.527800,1,-93.4370
0.529250,2,25.3750
0.530700,1,-103.5160
0.532150,2,18.5160
0.533600,1,-113.5620
0.535050,2,11.3130
0.536500,1,-122.8440
0.537950,2,4.2970
0.539400,1,-132.2660
0.540850,2,-2.5160
0.542300,1,-140.7190
0.543750,2,-10.0000
0.545200,1,-148.5160
0.546650,2,-16.9840
0.548100,1,-156.5310
0.549550,2,-24.0940
0.551000,1,-164.2190
0.552450,2,-31.5780
0.553900,1,-170.6250
0.555350,2,-37.4370
0.556800,1,-176.7190
0.558250,2,-45.1090
0.559700,1,-182.7660
0.561150,2,-51.6090
0.562600,1,-188.2340
0.564050,2,-57.4220
0.565500,1,-192.4840
0.566950,2,-64.0160
0.568400,1,-196.4690
0.569850,2,-69.3910
0.571300,1,-200.2500
0.572750,2,-75.9840
0.574200,1,-202.7970
0.575650,2,-81.5940
0.577100,1,-205.0620
0.578550,2,-87.3910
0.580000,1,-207.2030
0.581450,2,-92.5620
0.582900,1,-207.5940
0.584350,2,-97.0620
0.585800,1,-207.9370
0.587250,2,-101.5470
0.588700,1,-207.5940
0.590150,2,-105.6560
0.591600,1,-206.6560
0.593050,2,-110.2500
0.594500,1,-204.9220
0.595950,2,-113.6720
0.597400,1,-202.7970
0.598850,2,-117.2030
0.600300,1,-200.5160
0.601750,2,-119.8440
0.603200,1,-197.1250
0.604650,2,-122.5470
0.606100,1,-192.6250
0.607550,2,-124.1870
0.609000,1,-187.7660
0.610450,2,-126.1250
0.611900,1,-183.2660
0.613350,2,-128.1410
0.614800,1,-176.6870
0.616250,2,-128.4530
0.617700,1,-170.9220
0.619150,2,-128.9840
0.620600,1,-163.7660
0.622050,2,-130.1870
0.623500,1,-156.8440
0.624950,2,-129.7810
0.626400,1,-149.1870
0.627850,2,-129.0620
0.629300,1,-140.7500
0.630750,2,-128.2340
0.632200,1,-132.4370
0.633650,2,-127.0000
0.635100,1,-123.0940
0.636550,2,-125.1090
0.638000,1,-113.9060
0.639450,2,-123.2810
0.640900,1,-103.7970
0.642350,2,-120.7030
0.643800,1,-94.4370
0.645250,2,-117.8910
0.646700,1,-83.5000
0.648150,2,-114.5940
0.649600,1,-72.5940
0.651050,2,-111.2190
0.652500,1,-62.0470
0.653950,2,-107.3910
0.655400,1,-50.6720
0.656850,2,-103.6250
0.658300,1,-39.5780
0.659750,2,-98.4060
0.661200,1,-28.7030
0.662650,2,-94.1560
0.664100,1,-16.8120
0.665550,2,-89.3910
0.667000,1,-5.2190
0.668450,2,-83.6090
0.669900,1,5.9690
0.671350,2,-78.3750
0.672800,1,17.4060
0.674250,2,-72.6250
0.675700,1,29.2030
0.677150,2,-66.2030
0.678600,1,40.1090
0.680050,2,-60.5780
0.681500,1,51.4060
0.682950,2,-53.8120
0.684400,1,62.6410
0.685850,2,-47.2030
0.687300,1,73.4690
0.688750,2,-40.7660
0.690200,1,83.9840
0.691650,2,-33.8590
0.693100,1,94.5000
0.694550,2,-27.2660
0.696000,1,104.2030
0.697450,2,-19.6720
0.698900,1,114.2970
0.700350,2,-12.6090
0.701800,1,124.2190
0.703250,2,-5.7340
0.704700,1,133.0940
0.706150,2,1.6880
0.707600,1,141.4840
0.709050,2,8.3130
0.710500,1,149.8440
0.711950,2,15.7660
0.713400,1,157.7190
0.714850,2,22.6250
0.716300,1,165.1560
0.717750,2,29.7340
0.719200,1,172.0780
0.720650,2,36.2030
0.722100,1,177.8910
0.723550,2,43.3130
0.725000,1,184.6090
0.726450,2,50.5160
0.727900,1,189.0940
0.729350,2,56.4380
0.730800,1,193.6560
0.732250,2,62.7810
0.733700,1,197.9220
0.735150,2,68.7970
0.736600,1,200.7190
0.738050,2,74.8590
0.739500,1,204.3130
0.740950,2,80.3590
0.742400,1,205.9220
0.743850,2,85.8130
0.745300,1,207.9840
0.746750,2,90.9840
0.748200,1,209.4690
0.749650,2,95.9530
0.751100,1,209.4220
0.752550,2,100.3130
0.754000,1,209.6720
0.755450,2,104.7030
0.756900,1,208.4690
0.758350,2,109.2500
0.759800,1,206.5470
0.761250,2,112.4380
0.762700,1,204.4060
0.764150,2,115.7340
0.765600,1,202.0310
0.767050,2,118.3590
0.768500,1,198.7970
0.769950,2,121.4690
0.771400,1,194.9060
0.772850,2,123.4220
0.774300,1,189.8750
0.775750,2,125.5630
0.777200,1,184.9530
0.778650,2,127.2190
0.780100,1,179.0780
0.781550,2,127.8440
0.783000,1,173.1880
0.784450,2,128.5310
0.785900,1,166.3750
0.787350,2,128.9380
0.788800,1,159.0940
0.790250,2,128.3910
0.791700,1,150.5310
0.793150,2,128.7660
0.794600,1,143.4530
0.796050,2,127.2030
0.797500,1,134.5000
0.798950,2,126.4380
0.800400,1,125.3910
0.801850,2,124.5470
0.803300,1,115.8590
0.804750,2,123.3130
0.806200,1,106.0160
0.807650,2,120.4060
0.809100,1,96.5000
0.810550,2,117.6410
0.812000,1,86.5160
0.813450,2,114.5160
0.814900,1,75.5780
0.816350,2,110.8750
0.817800,1,64.7660
0.819250,2,106.8280
0.820700,1,53.5470
0.822150,2,102.8280
0.823600,1,42.1720
0.825050,2,98.2190
0.826500,1,31.2190
0.827950,2,93.5940
0.829400,1,19.1410
0.830850,2,88.7970
0.832300,1,7.6880
0.833750,2,83.4690
0.835200,1,-3.0940
0.836650,2,78.3440
0.838100,1,-14.8910
0.839550,2,72.3280
0.841000,1,-26.5620
0.842450,2,66.1560
0.843900,1,-37.6090
0.845350,2,59.9530
0.846800,1,-48.8590
0.848250,2,53.2190
0.849700,1,-60.0470
0.851150,2,46.6560
0.852600,1,-70.9370
0.854050,2,40.1720
0.855500,1,-81.5470
0.856950,2,33.4380
0.858400,1,-91.9060
0.859850,2,26.6410
0.861300,1,-102.1720
0.862750,2,19.3440
0.864200,1,-111.8750
0.865650,2,12.6880
0.867100,1,-121.5160
0.868550,2,5.7970
0.870000,1,-130.6250
0.871450,2,-1.5940
0.872900,1,-139.4060
0.874350,2,-8.5620
0.875800,1,-147.6870
0.877250,2,-16.0000
0.878700,1,-155.1410
0.880150,2,-22.7340
0.881600,1,-162.9690
0.883050,2,-30.0940
0.884500,1,-169.5310
0.885950,2,-36.6720
0.887400,1,-175.7500
0.888850,2,-43.0000
0.890300,1,-181.9370
0.891750,2,-50.2970
0.893200,1,-187.6410
0.894650,2,-56.7190
0.896100,1,-191.9840
0.897550,2,-62.8910
0.899000,1,-196.3750
0.900450,2,-68.9220
0.901900,1,-199.9530
0.903350,2,-75.1410
0.904800,1,-202.4060
0.906250,2,-80.6410
0.907700,1,-205.1090
0.909150,2,-86.6090
0.910600,1,-206.2340
0.912050,2,-91.5780
0.913500,1,-207.5310
0.914950,2,-96.7030
0.916400,1,-208.0470
0.917850,2,-101.3590
0.919300,1,-207.8280
0.920750,2,-106.0620
0.922200,1,-206.8590
0.923650,2,-109.6090
0.925100,1,-205.4220
0.926550,2,-112.9370
0.928000,1,-203.5780
0.929450,2,-116.2030
0.930900,1,-200.5310
0.932350,2,-119.6250
0.933800,1,-197.8120
0.935250,2,-121.9220
0.936700,1,-193.4370
0.938150,2,-124.2340
0.939600,1,-188.9370
0.941050,2,-125.8910
0.942500,1,-184.1090
0.943950,2,-127.8750
0.945400,1,-178.4530
0.946850,2,-128.7970
0.948300,1,-172.0780
0.949750,2,-129.4690
0.951200,1,-165.3910
0.952650,2,-129.4690
0.954100,1,-158.4060
0.955550,2,-130.2970
0.957000,1,-150.6870
0.958450,2,-129.8440
0.959900,1,-142.1090
0.961350,2,-128.4370
0.962800,1,-133.7970
0.964250,2,-127.2970
0.965700,1,-124.7500
0.967150,2,-125.3750
0.968600,1,-115.4220
0.970050,2,-123.4690
0.971500,1,-105.4530
0.972950,2,-121.4370
0.974400,1,-95.7660
0.975850,2,-118.9060
0.977300,1,-85.3590
0.978750,2,-115.0940
0.980200,1,-74.8280
0.981650,2,-112.0470
0.983100,1,-63.6870
0.984550,2,-108.3590
0.986000,1,-52.3750
0.987450,2,-104.2810
0.988900,1,-42.0620
0.990350,2,-99.5780
0.991800,1,-30.1410
0.993250,2,-94.8590
0.994700,1,-18.9370
0.996150,2,-90.3120
0.997600,1,-7.3750
0.999050,2,-85.0780
1.000500,1,3.9380
1.001950,2,-79.2500
1.003400,1,15.4220
1.004850,2,-73.3440
1.006300,1,26.5630
1.007750,2,-67.3590
1.009200,1,38.6560
1.010650,2,-60.9370
1.012100,1,49.6560
1.013550,2,-54.5780
1.015000,1,60.6410
1.016450,2,-47.9220
1.017900,1,71.2500
1.019350,2,-42.0310
1.020800,1,82.9690
1.022250,2,-34.7030
1.023700,1,92.7340
1.025150,2,-27.9690
1.026600,1,102.9220
1.028050,2,-21.4370
1.029500,1,112.5470
1.030950,2,-13.8280
1.032400,1,122.6720
1.033850,2,-6.6250
1.035300,1,131.3130
1.036750,2,0.1560
1.038200,1,140.3130
1.039650,2,7.3910
1.041100,1,148.2660
1.042550,2,14.6090
1.044000,1,156.4220
1.045450,2,21.5940
1.046900,1,163.7500
1.048350,2,28.8130
1.049800,1,170.6410
1.051250,2,35.5780
1.052700,1,177.2190
1.054150,2,42.4380
1.055600,1,182.7190
1.057050,2,48.8910
1.058500,1,188.2810
1.059950,2,55.4380
1.061400,1,193.0160
1.062850,2,61.3910
1.064300,1,197.7970
1.065750,2,68.0780
1.067200,1,200.8440
1.068650,2,74.1090
1.070100,1,203.6250
1.071550,2,79.8440
1.073000,1,206.4060
1.074450,2,84.8280
1.075900,1,208.2500
1.077350,2,90.2810
1.078800,1,209.0470
1.080250,2,95.3440
1.081700,1,209.8590
1.083150,2,99.4380
1.084600,1,209.0000
1.086050,2,104.2500
1.087500,1,208.6880
1.088950,2,108.3440
1.090400,1,207.2500
1.091850,2,112.2030
1.093300,1,205.0470
1.094750,2,114.9840
1.096200,1,202.4060
1.097650,2,118.2500
1.099100,1,199.2500
1.100550,2,121.0940
1.102000,1,195.3440
1.103450,2,123.4530
1.104900,1,190.6410
1.106350,2,125.1090
1.107800,1,185.9530
1.109250,2,126.8590
1.110700,1,180.6250
1.112150,2,127.8590
1.113600,1,174.0310
1.115050,2,128.7340
1.116500,1,167.4530
1.117950,2,129.3590
1.119400,1,160.0160
1.120850,2,129.2810
1.122300,1,152.5000
1.123750,2,128.8910
1.125200,1,144.6720
1.126650,2,128.3440
1.128100,1,135.8910
1.129550,2,126.7030
1.131000,1,126.8130
1.132450,2,124.9840
1.133900,1,117.8130
1.135350,2,122.8910
1.136800,1,108.0160
1.138250,2,120.5940
1.139700,1,97.9060
1.141150,2,118.4060
1.142600,1,87.9840
1.144050,2,114.9530
1.145500,1,77.2970
1.146950,2,111.6560
1.148400,1,66.3130
1.149850,2,107.7970
1.151300,1,55.4840
1.152750,2,104.0940
1.154200,1,43.7660
1.155650,2,99.5470
1.157100,1,32.3750
1.158550,2,94.2500
1.160000,1,21.6410
1.161450,2,89.7660
1.162900,1,9.9530
1.164350,2,84.5160
1.165800,1,-1.5470
1.167250,2,78.9380
1.168700,1,-13.0470
1.170150,2,73.0310
1.171600,1,-23.9840
1.173050,2,67.3440
1.174500,1,-36.1410
1.175950,2,61.0470
1.177400,1,-47.1720
1.178850,2,54.8590
1.180300,1,-58.0940
1.181750,2,48.3280
1.183200,1,-69.1410
1.184650,2,41.3440
1.186100,1,-79.5160
1.187550,2,34.5780
1.189000,1,-90.2190
1.190450,2,28.0470
1.191900,1,-100.4370
1.193350,2,20.8280
1.194800,1,-110.1560
1.196250,2,13.4220
1.197700,1,-120.2340
1.199150,2,6.5630
1.200600,1,-128.7970
1.202050,2,-0.5160
1.203500,1,-137.8280
1.204950,2,-8.0160
1.206400,1,-146.3440
1.207850,2,-14.5470
1.209300,1,-153.7810
1.210750,2,-21.5940
1.212200,1,-162.0000
1.213650,2,-28.5160
1.215100,1,-168.8750
1.216550,2,-36.0620
1.218000,1,-175.0000
1.219450,2,-42.5160
1.220900,1,-180.7500
1.222350,2,-48.7970
1.223800,1,-186.4220
1.225250,2,-55.8120
1.226700,1,-191.0310
1.228150,2,-61.9220
1.229600,1,-195.3910
1.231050,2,-68.5620
1.232500,1,-198.8440
1.233950,2,-74.0780
1.235400,1,-201.6720
1.236850,2,-79.8280
1.238300,1,-204.5310
1.239750,2,-85.2030
1.241200,1,-206.3750
1.242650,2,-90.3590
1.244100,1,-207.7500
1.245550,2,-95.7190
1.247000,1,-207.6720
1.248450,2,-99.9530
1.249900,1,-207.8440
1.251350,2,-104.6410
1.252800,1,-207.0000
1.254250,2,-108.5160
1.255700,1,-205.8910
1.257150,2,-112.0620
1.258600,1,-203.6870
1.260050,2,-115.4690
1.261500,1,-201.0310
1.262950,2,-118.7500
1.264400,1,-197.5470
1.265850,2,-121.5310
1.267300,1,-194.6410
1.268750,2,-124.0000
1.270200,1,-189.5310
1.271650,2,-125.8440
1.273100,1,-185.1560
1.274550,2,-126.9690
1.276000,1,-179.3590
1.277450,2,-128.2810
1.278900,1,-173.1250
1.280350,2,-129.1250
1.281800,1,-166.5310
1.283250,2,-129.5940
1.284700,1,-158.8910
1.286150,2,-129.6250
1.287600,1,-152.3280
1.289050,2,-129.4370
1.290500,1,-143.8590
1.291950,2,-128.7500
1.293400,1,-135.2660
1.294850,2,-127.6250
1.296300,1,-126.3440
1.297750,2,-125.8750
1.299200,1,-117.2190
1.300650,2,-123.9220
1.302100,1,-106.9060
1.303550,2,-121.6720
1.305000,1,-97.1090
1.306450,2,-118.8440
1.307900,1,-86.9370
1.309350,2,-115.8440
1.310800,1,-76.2340
1.312250,2,-112.7810
1.313700,1,-65.4530
1.315150,2,-109.0310
1.316600,1,-54.5620
1.318050,2,-104.5940
1.319500,1,-43.6560
1.320950,2,-100.5940
1.322400,1,-32.6870
1.323850,2,-95.9840
1.325300,1,-20.5310
1.326750,2,-90.4840
1.328200,1,-9.0470
1.329650,2,-85.5000
1.331100,1,2.4530
1.332550,2,-80.3750
1.334000,1,13.4690
1.335450,2,-73.9530
1.336900,1,25.1880
1.338350,2,-68.4220
1.339800,1,36.2660
1.341250,2,-62.5160
1.342700,1,48.0630
1.344150,2,-56.2500
1.345600,1,58.7340
1.347050,2,-49.8590
1.348500,1,69.7810
1.349950,2,-42.3440
1.351400,1,80.6880
1.352850,2,-36.0620
1.354300,1,91.2030
1.355750,2,-28.8280
1.357200,1,101.8280
1.358650,2,-21.9840
1.360100,1,111.1720
1.361550,2,-14.4840
1.363000,1,120.5780
1.364450,2,-7.5470
1.365900,1,129.8130
1.367350,2,-0.9530
1.368800,1,138.6410
1.370250,2,6.2660
1.371700,1,147.3280
1.373150,2,13.6410
1.374600,1,155.1880
1.376050,2,20.5630
1.377500,1,162.6250
1.378950,2,27.2810
1.380400,1,169.8750
1.381850,2,33.7810
1.383300,1,176.1720
1.384750,2,41.2660
1.386200,1,181.6410
1.387650,2,48.1720
1.389100,1,187.8130
1.390550,2,54.4690
1.392000,1,192.3750
1.393450,2,60.6410
1.394900,1,196.5470
1.396350,2,67.0470
1.397800,1,200.0310
1.399250,2,72.8590
1.400700,1,203.2500
1.402150,2,78.8750
1.403600,1,205.5940
1.405050,2,83.8280
1.406500,1,207.7810
1.407950,2,88.9690
1.409400,1,209.2970
1.410850,2,94.6720
1.412300,1,209.2810
1.413750,2,98.9220
1.415200,1,209.2810
1.416650,2,104.0160
1.418100,1,208.8590
1.419550,2,107.3590
1.421000,1,207.2190
1.422450,2,111.6090
1.423900,1,205.7030
1.425350,2,115.1720
1.426800,1,203.0940
1.428250,2,117.9530
1.429700,1,200.1250
1.431150,2,120.5940
1.432600,1,196.4840
1.434050,2,123.0780
1.435500,1,191.4220
1.436950,2,125.2190
1.438400,1,186.5310
1.439850,2,126.1250
1.441300,1,181.4060
1.442750,2,127.5310
1.444200,1,175.1410
1.445650,2,128.3910
1.447100,1,169.1720
1.448550,2,128.7190
1.450000,1,161.7660
1.451450,2,129.3590
1.452900,1,154.0470
1.454350,2,128.8440
1.455800,1,145.5310
1.457250,2,128.2190
1.458700,1,137.3910
1.460150,2,126.5160
1.461600,1,128.7660
1.463050,2,125.2340
1.464500,1,118.9530
1.465950,2,123.2660
1.467400,1,109.3750
1.468850,2,121.7190
1.470300,1,99.4530
1.471750,2,118.6250
1.473200,1,89.3440
1.474650,2,115.9060
1.476100,1,78.7970
1.477550,2,112.2810
1.479000,1,68.2340
1.480450,2,108.5780
1.481900,1,57.1250
1.483350,2,104.2970
1.484800,1,45.6410
1.486250,2,99.9690
1.487700,1,34.7970
1.489150,2,95.2340
1.490600,1,23.0160
1.492050,2,90.2970
1.493500,1,11.4690
1.494950,2,85.0310
1.496400,1,0.2660
1.497850,2,79.5000
1.499300,1,-11.1090
1.500750,2,74.4380
1.502200,1,-22.1090
1.503650,2,68.3440
1.505100,1,-34.1720
1.506550,2,61.8590
1.508000,1,-45.5160
1.509450,2,55.8910
1.510900,1,-56.4690
1.512350,2,49.3750
1.513800,1,-67.7340
1.515250,2,42.7810
1.516700,1,-78.3910
1.518150,2,35.4530
1.519600,1,-88.6720
1.521050,2,29.1090
1.522500,1,-99.0000
1.523950,2,21.7660
1.525400,1,-109.0310
1.526850,2,14.8910
1.528300,1,-118.2970
1.529750,2,7.1880
1.531200,1,-127.6560
1.532650,2,0.4840
1.534100,1,-136.9840
1.535550,2,-6.3910
1.537000,1,-145.2810
1.538450,2,-13.9370
1.539900,1,-153.2500
1.541350,2,-20.6560
1.542800,1,-160.3910
1.544250,2,-27.8910
1.545700,1,-167.4840
1.547150,2,-34.3590
1.548600,1,-174.0310
1.550050,2,-41.2970
1.551500,1,-180.1090
1.552950,2,-47.7660
1.554400,1,-185.6250
1.555850,2,-54.4370
1.557300,1,-190.4690
1.558750,2,-60.9690
1.560200,1,-195.1250
1.561650,2,-67.1870
1.563100,1,-198.8120
1.564550,2,-72.6090
1.566000,1,-201.5780
1.567450,2,-79.0620
1.568900,1,-204.0000
1.570350,2,-84.7970
1.571800,1,-205.9840
1.573250,2,-89.5310
1.574700,1,-207.1870
1.576150,2,-95.2500
1.577600,1,-208.1720
1.579050,2,-99.5470
1.580500,1,-208.2970
1.581950,2,-103.9840
1.583400,1,-207.2500
1.584850,2,-108.1090
1.586300,1,-206.1090
1.587750,2,-112.3120
1.589200,1,-204.5000
1.590650,2,-115.2190
1.592100,1,-201.2190
1.593550,2,-118.3590
1.595000,1,-198.2190
1.596450,2,-120.8590
1.597900,1,-194.4220
1.599350,2,-123.4840
1.600800,1,-190.9370
1.602250,2,-125.4690
1.603700,1,-185.6250
1.605150,2,-127.1090
1.606600,1,-179.5470
1.608050,2,-128.6720
1.609500,1,-173.9370
1.610950,2,-129.3590
1.612400,1,-167.6250
1.613850,2,-129.7030
1.615300,1,-160.3280
1.616750,2,-129.5160
1.618200,1,-152.8440
1.619650,2,-129.6560
